award_fact_id,winner_artist_id,winner_track_id,grammy_event_id
362,,7gsWcwi6Y1hj2WSNxnm12K,41
363,,7qUv2Tq895aJc6g4O1F6Zs,41
364,,0nJu3is8rdbac8Lk04XgBJ,41
365,,0y9HijI86urtAmbpnaN8ty,41
366,,0EkRiaSjVR6njfczmpMd8P,41
367,,07y7CVL4o27RmyNHm2X2tp,42
368,,1XPV4x6p6VkTvb4BJ70kCN,42
369,,1lQycHorbIQwYBsLFPzDif,42
370,,42ZVk59gT4tMlrZmd8Ijxf,42
371,,3v2oAQomhOcYCPPHafS3KV,44
372,,0Wp8NuIjnSmyj34l302esP,44
373,,1caT2YklnqZq35IcQ0oRLj,44
374,,75ZQrhgd4OY9269CxaP0PB,44
375,,0t9il3sTezdVNFtyItCGsX,45
376,,2MgfxFG6RBfW4ivhwFtYoi,45
377,,0t9il3sTezdVNFtyItCGsX,46
378,,2MgfxFG6RBfW4ivhwFtYoi,46
379,,3MN51vl11mNFeWccIYIqMD,47
380,,0SwALEkyJ7Uk55nNqLuW4e,48
381,,06NfzaCnz9aE1mDR07eQjd,50
382,,2cRll9FJJEs2hVKuOpRrRD,50
383,,0zBan4ZwfJzGq3PW8vlZ4U,50
384,,5sVyefkGgQeYCgnqr4KslQ,51
385,,0mVpHUKOhVbQekliCTeX3Q,52
386,,1kPpge9JDLpcj15qgrPbYX,52
387,,2S8UMuLJ0z8agFgFGJ6Ztt,52
388,,2iv6WW9vINyoRV8UTemp0n,52
389,,6lyKOW0FNW6aAZdKVgoM8m,52
390,,0PtDNK2Q49fAM4ZbKtN0mz,53
391,,16V8meQabrUEUI5GRC8x4K,53
392,,6F2vo4sxRNQ58VYe3pdiaL,53
393,,3KKYKEbPbA2WGUzKL97Vn1,54
394,,6w5fIsjwH9SMyOWIo3QhCQ,54
395,,56mkL3dasELpo8DVg00HGP,55
396,,3iV11AiIEDIOVjKy3kgjld,56
397,,7LsTx8jZt8KbQ1b6yB1Pq8,56
398,,7qUQGYIqnT3aySe3apNgUD,57
399,,0VgkBIBFS2cIH2AaX45LCO,57
400,,1mK1HDtie9WU6DAw3VAC4r,57
401,,2WC9rDC7aw6bzsA9ZwRVqx,57
402,,3eWjl48K6Kgn5Vr7iKWsh9,57
403,,4MNnfcIuCrmCymkLSXtXCl,57
404,,69BH4DTT22CtpsaHhGswrJ,57
405,,7iUcMdAcFAVffZhVxXQfYG,57
406,,3MN51vl11mNFeWccIYIqMD,58
407,,64Eug7tFE4KWJNQUE73BGe,59
408,,4Get5ZiY8kJAWaqkPhSGb1,61
409,,4SgnNO4hJbZDftfpBrH2Rj,61
410,,6GmhqGy1701ajXJY4ob5WF,61
411,,4Y1igB1GDncJvt7ezbV3cW,61
412,,4BHOr0zMeC7aoJn61EAj4O,63
413,,5cAUbhZcGKn666AZ9oO3RO,63
414,,60S0LkuUyzHzX29KWew1a6,63
415,,5zz9ypkkewsz1sfqntWOn1,63
416,,1r6tGt1nh2xPgeukItAElz,64
417,,5DyBTivjORrpNhJkJj2Ao5,64
418,,2SpEHTbUuebeLkgs9QB7Ue,64
419,,2fSIF8CJhoc9CJhF9vJDXp,64
420,,5fdhThPDe6jQQDqCyWrdAn,64
421,,0cmwFz7G4l7bE6L8x3IqWG,64
422,,2FEry3x8gDr7UJzH69m8q9,64
423,,31KNUC2lCIPdEeR9GSppuG,64
424,,3XZP3HTjGubkTFbGTgQC6O,64
425,,3Y92KuhfETiU7BaAQyVgyi,64
426,,0WBNZ9HEz6QqiDuZ3BCehP,65
427,,2j1r3ubqqxuoTFaPVnTV1j,66
428,,5SlNjNaibdMLveJPYqAAaE,69
429,,5qBTgZFjztQUPWm6oIIQFv,69
430,,7smv9FDgDqLgnNbC1bdANi,69
431,,0FGv96DlWEks32E9vv7nVd,72
432,,7susTbuAy63MdzO4vY3Emm,83
433,,7x8pIrhMu9FCmqqHNyuH0P,83
434,,3PUIguYpwKFXmfGD6uU7Jl,83
435,,6aIAuKNU8JlVaTmoCYYN6U,83
436,,2tH5sjtfoALFEozeO0hTJj,84
437,,2j1r3ubqqxuoTFaPVnTV1j,84
438,,4yNk9iz9WVJikRFle3XEvn,86
