genre_song_id,track_id,genre_id
40733,2dEgwtRjYl6TJkIwjRwn6z,27
40904,2dz2ynnOWIWA4V1orUtwIu,62
40934,2e6sXL2bYv4bSz6VTdnfLs,26
41016,2eRzSochQKj3fYYVFcV1nh,61
41025,2eTRqllk2ANQO7wwMkidwL,121
41446,2g8Aw9v2IdLEYrGXQbMYtw,78
42110,2ij6KmSIiA46M3TpZavPNK,3
42527,2kNh8bRILldURA7Bw05Nv9,81
42630,2kkvB3RNRzwjFdGhaUA0tz,38
42631,2kkvB3RNRzwjFdGhaUA0tz,99
42632,2kkvB3RNRzwjFdGhaUA0tz,100
42633,2kkvB3RNRzwjFdGhaUA0tz,89
42634,2kkvB3RNRzwjFdGhaUA0tz,92
42635,2kkvB3RNRzwjFdGhaUA0tz,27
42636,2kkvB3RNRzwjFdGhaUA0tz,101
42637,2kkvB3RNRzwjFdGhaUA0tz,57
42638,2kkvB3RNRzwjFdGhaUA0tz,58
42829,2laWaYdlYCDe3QFsUUpxkW,7
42970,2m8UShpNDIPkNWCxBN909N,113
43000,2mFea4DOhY3iShay4BQ0se,99
43779,2pXrc7Fw6jaqzO8XtkVK7b,53
44265,2rQsg6LF9Ylm31vtYCjQvd,31
44664,2szKefE1bJx9x2nrBhmCu9,11
44998,2uHHH7iJjQDhoFKfWbFjo3,102
45197,2v8mIirSXpwpVwyBrUzAtT,92
46052,2yKBnKOmPXePrbHqRv42r4,50
46066,2yNKDG4FgwzQuL0JUEOunR,94
46067,2yNKDG4FgwzQuL0JUEOunR,120
46103,2yZax79pOrYuyIFVW2cZY2,18
46144,2ykXJ9QVwx9Li8nsW0h6b2,108
46960,322MlqfR6pPebiDEbLABSD,56
47231,33DhPKcRaVOemvkI5Db3lQ,34
47405,3425OMM9bb64VMNXXldLvU,116
47735,35FdyUxBYDgm1cXCNf23kc,96
48123,36nYdygI2cwOtjBqGxhHzY,77
48194,374kqY6VFcdZYtN9FCxJxG,94
48475,3898C4AbdbptwYet6547e5,33
48476,3898C4AbdbptwYet6547e5,80
48766,39FexuVmNT8zcnB1DoscSn,6
48841,39XzVJh1B4VCeXbKYHWDAG,10
49025,3A9RV7frnaeqKGvF7kb0vd,19
49086,3AQozzNsKUnxw2GSn0IlRq,57
49087,3AQozzNsKUnxw2GSn0IlRq,58
49253,3B54sVLJ402zGa6Xm4YGNe,4
49387,3BbBUezZTVqAIzoyyvxDrG,31
49794,3DEOsCKFcseZtobrpOH2J7,12
49795,3DEOsCKFcseZtobrpOH2J7,13
49868,3DZ11M7LSpVQzYHnFx3i95,65
49915,3Dk2StRqlP3JmXIY4aWyvA,2
49962,3Dv1eDb0MEgF93GpLXlucZ,83
50012,3E5ndyOfO6vFDEIE42HA8o,96
50456,3G1aAxWS2Nd17FQs4PWV6X,50
50519,3GG9WXxmHL5zGm7hXwCe7L,89
50531,3GJ4hzg4lrGwU51Y3VARbF,89
50573,3GSMJpuz3rFU8WtCws1rv5,109
50602,3GYlQmwfBDo7imFyGPhrl7,51
50607,3Ga6eKrUFf12ouh9Yw3v2D,41
50608,3Ga6eKrUFf12ouh9Yw3v2D,29
50665,3GmXP6TAvaYUxSrBDB5814,111
50675,3GoiG5kOIEF1fZxj0Cc6h7,95
