nominee_id,name,winner,grammy_event_id
798,i,1,443
799,the marshall mathers lp2,1,444
800,something in the water,1,445
801,gentle on my mind,1,446
802,i'm not gonna miss you,1,447
803,platinum,1,448
804,winds of samsara,1,449
805,fingerprints,1,450
806,beautiful life,1,451
807,trilogy,1,452
808,life in the bubble,1,453
809,the offense of the drum,1,454
810,no greater love,1,455
811,messengers,1,456
812,help,1,457
813,run wild live free love strong,1,458
814,shine for all the people,1,459
815,tangos,1,460
816,multiviral,1,461
817,mano a mano - tangos a la manera de vicente fernandez,1,462
818,mas corazon profundo,1,463
819,a feather's not a bird,1,464
820,a feather's not a bird,1,465
821,the river the thread,1,466
822,the earls of leicester,1,467
823,step back,1,468
824,remedy,1,469
825,the legacy,1,470
826,fly rasta,1,471
827,eve,1,472
828,i am malala how one girl stood up for education and changed the world malala yousafzai,1,473
829,diary of a mad diva,1,474
830,mandatory fun,1,475
831,beautiful the carole king musical,1,476
832,frozen,1,477
833,the grand budapest hotel,1,478
834,let it go,1,479
835,the book thief,1,480
836,daft punk,1,481
837,new york tendaberry,1,482
838,lightning bolt,1,483
839,the rise fall of paramount records volume one 1917-27,1,484
840,offering live at temple university,1,485
841,the garden spot programs 1950,1,486
842,morning phase,1,487
843,max martin,1,488
844,all of me tiesto's birthday treatment remix,1,489
845,beyonce,1,490
846,vaughan williams dona nobis pacem symphony no 4 the lark ascending,1,491
847,judith sherman,1,492
848,adams john city noir,1,493
849,charpentier la descente d'orphee aux enfers,1,494
850,the sacred spirit of russia,1,495
851,in 27 pieces - the hilary hahn encores,1,496
852,play,1,497
853,douce france,1,498
854,partch plectra percussion dances,1,499
855,adams john luther become ocean,1,500
856,happy,1,501
857,20 feet from stardom,1,502
858,get lucky,1,503
859,random access memories,1,504
860,royals,1,505
861,macklemore ryan lewis,1,506
862,royals,1,507
863,get lucky,1,508
864,steppin' out,1,509
865,unorthodox jukebox,1,510
866,clarity,1,511
867,random access memories,1,512
868,to be loved,1,513
869,radioactive,1,514
870,god is dead,1,515
871,cut me some slack,1,516
872,celebration day,1,517
873,modern vampires of the city,1,518
874,something,1,519
875,please come home,1,520
876,pusher love girl,1,521
877,unapologetic,1,522
878,girl on fire,1,523
879,thrift shop,1,524
880,holy grail,1,525
881,thrift shop,1,526
882,the heist,1,527
883,wagon wheel,1,528
884,from this valley,1,529
885,merry go 'round,1,530
886,same trailer different park,1,531
887,love's river,1,532
888,orbits,1,533
889,liquid spirit,1,534
890,money jungle provocative in blue,1,535
891,night in calisia,1,536
892,song for maura,1,537
893,break every chain live,1,538
894,if he did it before same god live,1,539
895,overcomer,1,540
896,greater than live,1,541
897,overcomer,1,542
898,vida,1,543
899,treinta dias,1,544
900,a mi manera,1,545
901,pacific mambo orchestra,1,546
902,love has come for you,1,547
903,old yellow moon,1,548
904,the streets of baltimore,1,549
905,get up,1,550
906,my favorite picture of you,1,551
907,dockside sessions,1,552
908,ziggy marley in concert,1,553
909,savor flamenco,1,554
910,live singing for peace around the world,1,554
911,throw a penny in the wishing well,1,555
912,america again re-becoming the greatness we never weren't,1,556
913,calm down gurrl,1,557
914,kinky boots,1,558
915,sound city real to reel,1,559
916,skyfall,1,560
917,skyfall,1,561
918,pensamientos for solo alto saxophone and chamber orchestra,1,562
919,on green dolphin street,1,563
920,swing low,1,564
921,long night moon,1,565
922,wings over america deluxe edition,1,566
923,afro blue impressions remastered expanded,1,567
924,charlie is my darling - ireland 1965,1,568
925,the complete sussex and columbia albums,1,568
926,random access memories,1,569
927,pharrell williams,1,570
928,summertime sadness cedric gervais remix,1,571
929,live kisses,1,572
930,winter morning walks,1,573
931,david frost,1,574
932,sibelius symphonies nos 1 4,1,575
933,ades the tempest,1,576
934,part adam's lament,1,577
935,roomful of teeth,1,578
936,corigliano conjurer - concerto for percussionist string orchestra,1,579
937,winter morning walks,1,580
938,hindemith violinkonzert symphonic metamorphosis konzertmusik,1,581
939,schneider maria winter morning walks,1,582
940,suit tie,1,583
941,live kisses,1,584
942,somebody that i used to know,1,585
943,babel,1,586
944,we are young,1,587
945,fun,1,588
946,set fire to the rain live,1,589
947,somebody that i used to know,1,590
948,impressions,1,591
949,stronger,1,592
950,bangarang,1,593
951,bangarang,1,594
952,kisses on the bottom,1,595
953,lonely boy,1,596
954,love bites so do i,1,597
955,lonely boy,1,598
956,el camino,1,599
957,making mirrors,1,600
958,climax,1,601
959,love on top,1,602
960,adorn,1,603
961,channel orange,1,604
962,black radio,1,605
963,ns in paris,1,606
964,no church in the wild,1,607
965,ns in paris,1,608
966,take care,1,609
967,blown away,1,610
968,pontoon,1,611
969,blown away,1,612
970,uncaged,1,613
971,echoes of love,1,614
972,hot house,1,615
